Country,Count
USA-UnitedStates,1948
GBR-UnitedKingdom,131
ZAF-SouthAfrica,94
ITA-Italy,93
DEU-Germany,78
CAN-Canada,69
AUS-Australia,55
FRA-France,53
JPN-Japan,40
IND-India,39
RUS-Russia,37
CHN-China,30
MEX-Mexico,24
AUT-Austria,18
BRA-Brazil,14
ANT-Netherlands,11
ESP-Spain,11
POL-Poland,10
IRN-Iran,8
COL-Colombia,7
BEL-Belgium,7
THA-Thailand,6
KOR-SouthKorea,5
SWE-Sweden,5
CHE-Switzerland,5
GRC-Greece,5
PAK-Pakistan,5
KEN-Kenya,5
SGP-Singapore,4
PHL-Philippines,4
HUN-Hungary,4
IDN-Indonesia,4
ISR-Israel,4
VNM-Vietnam,4
CZE-CzechRepublic,4
HKG-HongKong,3
YEM-Yemen,3
UGA-Uganda,3
BMU-Bermuda,3
TUR-Turkey,3
NZL-NewZealand,3
FIN-Finland,3
MKD-Macedonia,3
ROM-Romania,3
SWZ-Swaziland,3
ZWE-Zimbabwe,2
MAR-Morocco,2
ECU-Ecuador,2
NOR-Norway,2
GTM-Guatemala,2
BHS-Bahamas,2
ARG-Argentina,2
PAN-Panama,2
IRL-Ireland,2
JOR-Jordan,2
EGY-Egypt,2
YUG-Yugoslavia,2
SVN-Slovenia,2
URY-Uruguay,2
ATG-Antigua,1
AGO-Angola,1
NGA-Nigeria,1
SAU-SaudiArabia,1
BOL-Bolivia,1
PER-Peru,1
SVK-Slovakia,1
PRT-Portugal,1
CostaRica,1
BGD-Bangladesh,1
MLT-Malta,1
SYR-SyrianArabRepublic,1
BLR-Belarus,1
SLV-ElSalvador,1
UAE-UnitedArabEmirates,1
DNK-Denmark,1
LVA-RepublicofLatvia,1
HRV-RepublicofCroatia,1
GHA-Ghana,1
HOL-Holland,1
EST-Estonia,1
AFG-Afghanistan,1
NPL-Nepal,1
VEN-Venezuela,1
MDA-Moldova,1
KGZ-Kyrgyzstan,1
FJI-Fiji,1
Gaul,1
KAZ-Kazakhstan,1
BIH-Bosnia,1
BWA-Botswana,1
