Year,2 or more,3 or more
1920,13,13
1921,17,14
1922,8,8
1923,17,14
1924,6,6
1925,9,9
1926,11,7
1927,9,8
1928,9,9
1929,5,5
1930,6,5
1931,10,8
1932,11,10
1933,12,10
1934,8,7
1935,11,12
1936,8,8
1937,8,9
1938,9,10
1939,6,6
1940,6,6
1941,3,3
1942,4,0
1943,8,8
1944,8,9
1945,11,9
1946,12,10
1947,5,6
1948,9,7
1949,5,6
1950,10,8
1951,12,10
1952,7,7
1953,9,8
1954,13,10
1955,9,8
1956,13,11
1957,14,9
1958,15,14
1959,7,6
1960,18,11
1961,15,11
1962,13,9
1963,21,16
1964,29,16
1965,21,12
1966,36,27
1967,24,20
1968,31,22
1969,43,39
1970,42,34
1971,55,41
1972,68,52
1973,76,58
1974,99,71
1975,92,61
1976,84,51
1977,105,71
1978,131,83
1979,117,88
1980,124,90
1981,134,99
1982,113,83
1983,114,81
1984,142,94
1985,148,104
1986,159,106
1987,172,119
1988,138,78
1989,152,100
1990,129,85
1991,146,85
1992,151,101
1993,153,91
1994,142,92
1995,126,71
1996,124,72
1997,111,74
1998,116,76
1999,102,60
2000,83,54
2001,85,50
2002,88,54
2003,82,57
2004,74,48
2005,74,56
2006,75,53
2007,84,56
2008,60,34
2009,76,42
2010,61,29
2011,56,25
2012,55,17
2013,29,15
2014,25,13
